x,y,confidence,resolution,tile_id
1244.5663,2400.5977,0.24171832,1.0,32
1706.487,2372.0693,0.20246254,1.0,32
1881.356,1885.1143,0.7464241,1.0,33
2294.0903,1863.8221,0.47486252,1.0,33
1861.7335,2381.13,0.4649792,1.0,33
1865.5613,2382.0403,0.34832004,1.0,33
2291.6472,1939.4264,0.27767226,1.0,33
2111.3035,1851.8873,0.25259686,1.0,33
2448.0293,1893.0339,0.20869917,1.0,33
2254.8071,2435.6802,0.20100185,1.0,33
2473.1375,1903.8706,0.53088754,1.0,34
2859.207,2429.9465,0.47298667,1.0,34
2603.3608,1848.7002,0.34521276,1.0,34
2758.5798,2442.7722,0.2868421,1.0,34
2676.9797,1876.5648,0.24134474,1.0,34
3044.9497,1856.0269,0.2333442,1.0,34
3041.435,2429.7163,0.23208591,1.0,34
2774.1074,1866.2256,0.21225399,1.0,34
3198.055,2359.8745,0.4303268,1.0,35
3290.5403,2437.7424,0.37221947,1.0,35
3371.442,1863.0182,0.3174773,1.0,35
3113.264,2404.7085,0.291062,1.0,35
3357.6238,2401.7124,0.23417507,1.0,35
4253.083,2423.6216,0.69853,1.0,36
3796.5728,1863.1992,0.5458484,1.0,36
4192.3594,2392.86,0.48395562,1.0,36
3779.205,2414.3062,0.4389039,1.0,36
3700.011,1865.1183,0.42638862,1.0,36
3815.7917,2437.647,0.37188056,1.0,36
4113.707,2391.4458,0.24425557,1.0,36
4107.886,2402.0957,0.23398736,1.0,36
4776.91,2386.2905,0.5663965,1.0,37
4589.2783,1851.8556,0.4799194,1.0,37
4300.079,2424.752,0.4629263,1.0,37
4651.185,1932.0718,0.28408208,1.0,37
4589.303,1843.9215,0.22395925,1.0,37
4691.3315,1865.6124,0.21848191,1.0,37
4827.4033,1857.2344,0.20004243,1.0,37
5033.3667,1871.0488,0.5209598,1.0,38
5334.4346,2411.1204,0.27614093,1.0,38
4883.449,1974.515,0.20879295,1.0,38
5459.6987,2401.2236,0.20791158,1.0,38
6082.414,1840.8069,0.33506182,1.0,39
