x1,y1,x2,y2,confidence,resolution,tile_id
96.50702,1110.7794,240.21567,1229.8085,0.2293839,1.0,10
1125.9102,608.0,1248.0,709.81604,0.4956058,1.0,11
1115.7532,877.7473,1188.9553,954.6926,0.3149925,1.0,11
1216.258,1053.7349,1248.0,1124.4102,0.286744,1.0,11
1152.3945,1129.7251,1247.8689,1247.5479,0.27561295,1.0,11
865.8625,852.999,1061.6858,1072.5979,0.2310272,1.0,11
1735.8262,608.0,1856.0,680.3993,0.56079155,1.0,12
1364.1604,1111.3787,1435.4517,1177.614,0.5416778,1.0,12
1657.0614,1087.7944,1738.8639,1153.8975,0.42414325,1.0,12
1228.2439,1080.2621,1342.906,1183.3683,0.35902384,1.0,12
1725.9265,1105.7781,1844.0901,1206.2322,0.3374717,1.0,12
1216.0,918.0577,1299.7651,1022.8378,0.31941897,1.0,12
1216.0,608.0,1304.2871,698.0725,0.31376785,1.0,12
1216.377,1057.7043,1282.0232,1122.4424,0.3083728,1.0,12
1723.4808,1058.85,1799.4535,1138.4642,0.30105984,1.0,12
1557.127,906.3945,1767.7021,1122.7422,0.28694093,1.0,12
1341.0468,608.262,1420.9318,656.3525,0.27757317,1.0,12
1216.0522,996.6789,1264.3682,1082.2852,0.27111265,1.0,12
1307.5753,1107.7234,1456.7006,1247.3455,0.23018,1.0,12
1492.8766,608.0217,1589.3595,645.7489,0.20384578,1.0,12
2252.6633,993.7886,2404.7668,1130.5886,0.677818,1.0,13
2047.316,907.0465,2251.0935,1087.5332,0.5036245,1.0,13
1824.0,1099.3977,1882.8931,1174.177,0.44958153,1.0,13
1824.0942,608.047,1870.7993,665.70276,0.41190875,1.0,13
2208.735,1090.8156,2279.822,1158.5953,0.31584477,1.0,13
2011.4489,608.0219,2180.2466,669.7901,0.22698976,1.0,13
2319.1145,1175.0664,2411.8215,1247.9175,0.22350241,1.0,13
2738.9668,927.2119,2870.6616,1076.5176,0.7537335,1.0,14
3003.1553,989.3427,3072.0,1076.1516,0.50930506,1.0,14
2623.6885,1033.1111,2691.0483,1100.4536,0.5084123,1.0,14
2991.4902,608.10394,3072.0,667.06696,0.50162166,1.0,14
2468.3872,1020.71643,2623.4,1149.1259,0.393017,1.0,14
2716.4854,608.0439,2850.3057,699.0994,0.30346063,1.0,14
2511.913,1161.8265,2606.462,1247.5748,0.293333,1.0,14
2582.7922,1098.8883,2697.2654,1205.8156,0.27582195,1.0,14
2582.695,931.56714,2693.1868,1031.873,0.22949556,1.0,14
3294.345,1068.6559,3461.7463,1241.8221,0.6506254,1.0,15
3507.7048,963.5654,3680.0002,1152.9983,0.52202374,1.0,15
3040.0815,1195.5327,3107.724,1248.0,0.3433385,1.0,15
3505.7617,1002.5338,3579.918,1083.6014,0.3195716,1.0,15
3040.0,608.11896,3133.6187,670.2491,0.29810128,1.0,15
3136.5923,942.21423,3324.9526,1169.0443,0.28439438,1.0,15
3237.213,1183.9031,3337.418,1247.8235,0.26586917,1.0,15
3055.3184,966.93066,3153.8516,1061.9738,0.26324874,1.0,15
3626.2979,1115.4216,3679.8716,1226.676,0.26280022,1.0,15
3275.691,968.84296,3345.127,1037.1804,0.2602478,1.0,15
3100.4724,1166.45,3232.8865,1247.7688,0.25963372,1.0,15
3584.9395,608.0187,3680.0,684.9369,0.23441103,1.0,15
3648.6138,1099.9369,3795.0024,1245.847,0.3784137,1.0,16
3648.0913,1110.2356,3762.0132,1238.0881,0.2802719,1.0,16
3680.4167,933.9392,3922.3586,1165.5122,0.23897631,1.0,16
4241.9,1172.969,4287.931,1247.9712,0.20742351,1.0,16
4256.0,608.0,4353.414,681.569,0.6369545,1.0,17
4517.977,1000.78345,4610.1284,1096.9202,0.28763136,1.0,17
4657.97,978.69464,4716.4185,1039.0437,0.27676287,1.0,17
4280.2456,1003.1461,4356.394,1079.3978,0.270872,1.0,17
4256.6357,995.93066,4357.041,1089.377,0.2390157,1.0,17
4864.0522,1073.86,4996.7437,1244.6859,0.5660468,1.0,18
5464.3496,1179.7422,5503.9893,1248.0,0.2824849,1.0,18
